Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
OATH,2a,FALSE,OATH Vehicle for Hire Hearings Division hearings conducted,NA,"77,807","59,929","75,402","53,777",*,*,Neutral,NA
OATH,2a,TRUE,OATH Vehicle for Hire Hearings Division decisions rendered,NA,NA,"50,264","63,060","42,473",*,*,Neutral,NA
OATH,2a,FALSE,OATH Hearings by Mail (% of total alternative hearings),NA,51.8%,38.0%,31.2%,24.4%,*,*,Neutral,NA
OATH,2a,FALSE,OATH One-Click Hearings (% of total alternative hearings),NA,36.3%,50.4%,55.0%,58.9%,*,*,Neutral,NA
OATH,2a,FALSE,OATH Hearings by Phone (% of total alternative hearings),NA,11.9%,11.6%,13.8%,16.7%,*,*,Neutral,NA
OATH,3a,FALSE,Completed customer requests for interpretation,"7,423","8,734","9,240","9,419","10,185",*,*,Neutral,Up
OATH,3a,FALSE,Letters responded to in 14 days (%),98%,99.7%,100%,100%,100%,*,*,Up,Neutral
OATH,3a,FALSE,E-mails responded to in 14 days (%),NA,100%,100%,100%,100%,*,*,Up,NA
OATH,3a,FALSE,CORE customer experience rating (0-100),87,90,97,94,98,*,*,Up,Up
OCME,1a,FALSE,Deaths reported,"25,941","27,265","27,505","27,984","27,674",*,*,Neutral,Neutral
OCME,1a,FALSE,Cases where Chief Medical Examiner takes jurisdiction,"7,152","7,095","7,109","7,136","7,375",*,*,Neutral,Neutral
OCME,2a,FALSE,Number of decedents' remains transported and stored by OCME,"9,558","9,473","10,456","10,721","10,108",*,*,Neutral,Neutral
OCME,2a,FALSE,Median time to remove decedents from scene (non-hospital) after investigation (minutes),55.2,42.1,40.1,49.3,56.7,*,*,Down,Neutral
OCME,3a,FALSE,Remains recovered following a disaster or mass fatality incident (cumulative),"21,818","21,906","21,914","21,916","21,916",*,*,Neutral,Neutral
OCME,3b,FALSE,Remains identified following a disaster (cumulative),"13,024","13,639","13,979","14,202","14,308",*,*,Up,Neutral
OCME,4a,FALSE,DNA matches with profiles in database,"1,791","1,618","2,621","6,008","7,758",*,*,Neutral,Up
OCME,5a,FALSE,Completed customer requests for interpretation,202,164,188,304,664,*,*,Neutral,Up
OCME,5a,FALSE,Letters responded to in 14 days (%),100%,98%,100%,100%,100%,*,*,Up,Neutral
OCME,5a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
QPL,1a,FALSE,Active library cards (000),884,866,929,972,841,*,*,Neutral,Neutral
QPL,1a,FALSE,New library card registrations,"97,761","100,327","198,626","171,677","103,457",*,*,Neutral,Up
SBS,1a,FALSE,Unique businesses served by NYC Business Solutions,"8,696","11,340","8,344","7,642","9,812",*,*,Up,Neutral
SBS,1a,FALSE,Value of financing awards facilitated by NYC Business Solutions ($000),"$71,484","$54,101","$44,811","$64,799","$44,983",*,*,Up,Down
SBS,1a,FALSE,Number of unique businesses served by NYC Business Acceleration,NA,"4,989","6,377","5,899","5,122",*,*,Up,NA
SBS,1a,FALSE,Projected number of hires by businesses opened by NYC Business Acceleration,NA,"9,280","13,090","12,037","12,759",*,*,Up,NA
SBS,1a,FALSE,Site consultations by NYC Business Acceleration inspectors,NA,215,678,"1,031","1,052",*,*,Up,NA
SBS,1b,FALSE,Value of Energy Cost Savings Program savings for businesses ($000),$597,$760,$176,$841,$878,*,*,Neutral,Up
SBS,1b,FALSE,Jobs created or retained by Energy Cost Savings Program,"2,521","4,122",361,"5,164","1,060",*,*,Neutral,Down
SBS,1b,FALSE,Value of Lower Manhattan Energy Program savings for active commercial tenants (cumulative) ($000),"$25,032","$17,418","$14,546","$12,433","$10,028",*,*,Neutral,Down
SBS,1b,FALSE,Commercial tenants active in Lower Manhattan Energy Program,"1,403","1,095","1,059","1,152","1,007",*,*,Neutral,Down
SBS,2a,FALSE,New jobseekers registered through the Workforce1 Career Center system,"73,518","84,515","82,619","55,133","55,647",*,*,Neutral,Down
SBS,2a,FALSE,Walk-in traffic at Workforce1 Centers,"312,009","320,273","367,695","266,663","273,753",*,*,Neutral,Down
SBS,2a,TRUE,Businesses awarded funding for employer-based training,NA,NA,NA,NA,57,*,*,Neutral,NA
SBS,3a,FALSE,"Value of AvenueNYC local development corporations funding ($000,000)",$1.74,$1.50,$1.38,$1.38,$1.30,*,*,Neutral,Down
SBS,4a,FALSE,Newly certified and recertified businesses in M/WBE Program,"1,022","1,061",923,"1,003","1,030",*,*,Up,Neutral
SBS,5a,FALSE,CORE customer experience rating (0-100),92,93,95,95,98,*,*,Up,Neutral
SBS,5a,FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
SBS,5a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
SBS,5a,FALSE,Completed customer requests for interpretation,NA,NA,NA,"2,351","7,281",*,*,Neutral,NA
SCA,1b,FALSE,Average new school construction cost per square foot  - Early childhood ($),NA,NA,NA,NA,NA,*,*,Down,NA
SCA,1b,FALSE,- Elementary ($),$529,$553,$552,$631,$657,*,*,Down,Up
SCA,1b,FALSE,- Intermediate ($),NA,$638,$604,NA,$573,*,*,Down,NA
SCA,1b,FALSE,- High school ($),$525,$533,NA,$498,NA,*,*,Down,NA
SCA,1d,FALSE,Ultimate cost of insurance losses as % of construction value (per calendar year),6.49%,6.97%,4.66%,6.62%,NA,*,*,Down,NA
TLC,1a,FALSE,Active medallion taxis that are accessible,NA,NA,553,572,876,*,*,Up,NA
TLC,1a,FALSE,Active Boro Taxis that are accessible,NA,NA,492,"1,240","1,393",*,*,Up,NA
TLC,1a,FALSE,Accessible dispatch median wait time in Manhattan (hours:minutes),NA,NA,0:15,0:13,0:13,*,*,Down,NA
TLC,1a,FALSE,Accessible dispatch trips fulfilled as a percent of requested trips (%),NA,NA,81.0%,88.7%,89.2%,*,*,Up,NA
TLC,1a,FALSE,Active medallion vehicles with hearing induction loops,NA,NA,312,668,"1,410",*,*,Up,NA
TLC,1b,FALSE,Medallion safety and emissions inspections conducted,"51,582","51,786","52,046","51,769","50,894",*,*,Neutral,Neutral
TLC,1b,FALSE,- Re-inspection (%),9.1%,8.1%,7.9%,7.4%,6.5%,*,*,Down,Down
TLC,1b,FALSE,Medallion safety and emissions inspections completed on schedule (%),95.9%,94.9%,96.0%,95.5%,95.6%,*,*,Up,Neutral
TLC,1b,FALSE,For-hire vehicle (FHV) safety and emissions inspections conducted at TLC facility,"37,373","39,634","40,498","47,176","49,949",*,*,Neutral,Up
TLC,1b,FALSE,- Re-Inspection (%),15.6%,15.1%,14.4%,13.6%,12.5%,*,*,Down,Down
TLC,1b,FALSE,FHV safety and emissions inspections completed on schedule (%),99.9%,99.8%,99.9%,99.8%,100.0%,*,*,Up,Neutral
TLC,1b,FALSE,Boro Taxi safety and emissions inspections conducted,NA,NA,"11,202","20,024","20,676",*,*,Neutral,NA
TLC,1b,FALSE,Boro Taxis safety and emissions failure rate - Initial inspection (%),NA,NA,49.7%,51.1%,49.1%,*,*,Down,NA
TLC,1b,FALSE,- Re-inspection (%),NA,NA,13.0%,12.8%,12.4%,*,*,Down,NA
TLC,1c,FALSE,Medallion patrol summonses issued,"3,574","7,240","7,676","12,141","16,687",*,*,Neutral,Up
TLC,1c,FALSE,Administrative summonses issued to medallions,"15,460","14,877","6,953","12,284","8,721",*,*,Neutral,Down
TLC,1c,FALSE,FHV patrol summonses issued,"41,254","32,633","41,939","49,531","45,403",*,*,Neutral,Up
TLC,1c,TRUE,Summonses issued for illegal street hails and unlicensed activity,"30,664","17,935","25,344","23,300","18,929",*,*,Neutral,Down
TLC,1c,FALSE,Administrative summonses issued to FHVs,"3,945","5,861","6,403","14,328","16,903",*,*,Neutral,Up
TLC,1c,FALSE,Violations admitted to or upheld at the Taxi and Limousine Tribunal at the Office of Administrative Trials and Hearings (%),NA,83.0%,85.4%,91.5%,90.9%,*,*,Up,NA
TLC,1d,FALSE,Medallion drivers' licenses issued,"27,816","28,057","29,569","29,794","32,857",*,*,Neutral,Up
TLC,1d,FALSE,For-hire vehicle drivers' licenses issued,"33,374","34,229","40,388","61,691","64,544",*,*,Neutral,Up
TLC,1d,FALSE,Average time to receive a new medallion driver's license from initial application (calendar days),50.9,49.6,62.3,67.0,58.0,*,*,Down,Up
TLC,1d,FALSE,- Average agency processing time,NA,NA,NA,NA,13.1,*,*,Down,NA
TLC,1d,FALSE,Average time to receive a FHV driver's license from initial application (calendar days),21.5,19.9,61.7,43.6,68.2,*,*,Down,Up
TLC,1d,FALSE,- Average agency processing time,NA,NA,NA,NA,26.7,*,*,Down,NA
TLC,1d,FALSE,Average time to conduct a safety and emissions inspection of a Boro Taxi (hours:minutes),NA,NA,0:57,0:55,0:51,*,*,Down,NA
TLC,1e,FALSE,Medallion driver complaints received,"19,161","18,109","17,409","15,967","18,532",*,*,Down,Neutral
TLC,1e,FALSE,- Complaints that were eligible for prosecution,"4,555","7,843","6,848","6,553","7,876",*,*,Neutral,Up
TLC,1e,FALSE,FHV driver complaints received,"2,761","3,002","2,666","3,290","5,395",*,*,Down,Up
TLC,1e,FALSE,- Complaints that were eligible for prosecution,188,497,757,"1,368","2,351",*,*,Neutral,Up
TLC,2a,FALSE,Medallion vehicles,"13,237","13,237","13,587","13,587","13,587",*,*,Neutral,Neutral
TLC,2a,FALSE,For-hire vehicles (includes Boro Taxis),"41,044","43,668","51,145","65,016","78,814",*,*,Neutral,Up
TLC,2a,FALSE,- Boro Taxis,NA,NA,"5,048","7,077","7,237",*,*,Neutral,NA
TLC,3a,FALSE,Calls answered in 30 seconds (%),NA,NA,NA,NA,NA,*,*,Up,NA
TLC,3a,FALSE,Completed customer requests for interpretation,"6,163","7,990","5,721","5,336","6,880",*,*,Neutral,Neutral
ACS,3a,TRUE,Escapes from secure detention,0,0,0,0,0,0,0,Down,Neutral
CCRB,1a,TRUE,Substantiated cases in which the statute of limitations expired (%),1%,10%,3%,1%,0%,0%,0%,Down,Down
ACS,3a,TRUE,Abscond rate in non-secure detention (average per 100 total ADP in non-secure),0.02,0.05,0.08,0.05,0.03,0.03,0.03,Down,Up
ACS,3a,TRUE,"Youth on staff assault w/injury rate (per 100 total ADP), detention",0.04,0.06,0.05,0.05,0.08,0.04,0.04,Down,Up
ACS,3a,FALSE,"Youth on staff assault with injury rate, Close to home placement",NA,NA,0.05,0.05,0.07,0.05,0.05,Down,NA
ACS,3a,TRUE,"Child abuse and/or neglect allegation rate (internal) (average per 100 total ADP), detention",0.09,0.11,0.10,0.15,0.11,0.09,0.09,Down,Up
ACS,3a,FALSE,"Youth on youth assault with injury rate, Close to home placement",NA,NA,0.14,0.12,0.10,0.10,0.09,Down,NA
DoITT,1b,FALSE,Average time to resolve service incidents - Urgent (days),0.3,0.8,0.7,0.7,0.4,0.1,0.1,Down,Up
DOB,1a,TRUE,Average time to complete application processing (days),0.20,0.09,0.09,0.07,0.05,0.10,0.10,Down,Down
DoITT,1b,FALSE,Average time to resolve service incidents - High (days),0.6,1.4,0.5,0.4,0.8,0.2,0.2,Down,Down
TLC,1d,TRUE,Average wait time at Long Island City licensing facility (hours: minutes),0:23,0:14,0:28,0:16,0:25,0:25,0:25,Down,Up
3-1-1,1a,TRUE,Average wait time (tier 1 calls) (minutes:seconds),0:45,0:38,0:23,0:23,0:16,0:30,0:30,Down,Down
ACS,3a,TRUE,"Youth on youth assaults and altercations with injury rate (per 100 total ADP), detention",0.44,0.34,0.35,0.30,0.39,0.35,0.35,Down,Down
ACS,3a,FALSE,"AWOL rate, Close to Home placement",NA,NA,0.7,0.4,0.3,0.4,0.4,Down,NA
DOHMH,7a,FALSE,Average wait time to speak with a customer service agent (minutes),12,11,9,8,1,10,10,Down,Down
DOB,2a,TRUE,Average time to respond to Priority A complaints (days),0.6,0.7,0.7,0.7,0.8,1.0,1.0,Down,Up
DEP,2a,TRUE,Street segments with recurring confirmed sewer backups in the last 12 months (% of total segments),0.6%,0.5%,0.4%,0.3%,0.3%,1.0%,1.0%,Down,Down
DEP,2a,TRUE,Backlog of catch basin repairs (% of system),1.1%,0.5%,0.3%,0.4%,0.6%,1.0%,1.0%,Down,Down
DOC,1d,FALSE,Jail-cells unavailable (short-term repair) (%),1.8%,3.1%,2.8%,2.3%,2.3%,1.0%,1.0%,Down,Neutral
TLC,1d,TRUE,Average time to conduct a safety and emissions inspection of a medallion taxi (hours:minutes),1:18,0:55,0:53,0:50,0:48,1:00,1:00,Down,Down
TLC,1d,TRUE,Average time to conduct a safety and emissions inspection of a FHV (hours:minutes),1:22,0:56,1:00,0:57,0:49,1:00,1:00,Down,Down
DEP,5a,TRUE,Average days to close asbestos complaints,0.20,0.29,0.26,0.37,0.34,1.00,1.00,Down,Up
DEP,2a,TRUE,Broken and inoperative hydrants (%),0.36%,0.31%,0.44%,0.50%,0.51%,1.00%,1.00%,Down,Up
DOB,1b,TRUE,Average days to complete first plan review (Borough offices) -  Major renovation (Alteration I),11.3,12.0,11.3,15.2,12.2,10.0,10.0,Down,Up
DOF,3a,TRUE,Average time to process initial SCRIE applications (days),NA,17.3,4.4,7.7,4.7,10.0,10.0,Down,NA
DOF,3a,TRUE,Average time to process renewal SCRIE applications (days),NA,13.4,9.6,8.9,6.9,10.0,10.0,Down,NA
DOF,3a,TRUE,Average time to process initial DRIE applications (days),NA,NA,NA,NA,7.5,10.0,10.0,Down,NA
DOF,3a,TRUE,Average time to process renewal DRIE applications (days),NA,NA,NA,NA,7.6,10.0,10.0,Down,NA
NYCHA,1b,TRUE,Average time to resolve elevator outages (hours),3.8,5.8,5.7,6.5,8.7,10.0,10.0,Down,Up
OCME,4a,FALSE,Median time to complete toxicology DUI (driving under the influence) cases (days),15.0,14.0,20.0,30.0,43.0,10.0,10.0,Down,Up
DOC,2b,TRUE,Inmates participating in skills-building activities/discharge planning (%),10.0%,10.9%,10.3%,10.5%,8.7%,10.0%,10.0%,Up,Down
ACS,3b,TRUE,Residents seen within 24 hours of sick call report (%),100%,100%,100%,100%,100%,100%,100%,Up,Neutral
BPL,1a,TRUE,Libraries open six days per week (%),52%,47%,38%,65%,100%,100%,100%,Up,Up
DCA,1a,FALSE,- Within 0-90 days (%),NA,NA,NA,100%,100%,*,100%,Up,NA
DCAS,1c,TRUE,Exams administered on schedule (%),100%,100%,100%,100%,100%,100%,100%,Up,Neutral
DCLA,1a,FALSE,Operating support payments made to Cultural Institutions Group by the 5th day of each month (%),100%,100%,100%,100%,100%,100%,100%,Up,Neutral
DEP,1a,TRUE,In-City samples meeting water quality standards for coliform bacteria (%),100%,100%,100%,100%,100%,100%,100%,Up,Neutral
DORIS,1a,FALSE,Percent of required agency reports submitted to the Municipal Library publications portal,NA,NA,NA,NA,60%,100%,100%,Up,NA
DOT,5a,FALSE,Bridge projects (structural work) substantially completed on schedule (%),91%,71%,100%,100%,100%,100%,100%,Up,Up
DYCD,1a,FALSE,Beacon programs' enrollment as a percentage of the minimum annual target (%),117%,156%,110%,110%,100%,100%,100%,Up,Down
LPC,1b,FALSE,Expedited Certificates of No Effect issued within two days (%),92%,100%,97%,90%,99%,100%,100%,Up,Neutral
NYPL,1a,TRUE,Libraries open six days per week (%),100%,100%,100%,100%,100%,100%,100%,Up,Neutral
NYPL,2a,TRUE,Libraries open six days per week (%),75%,75%,75%,100%,100%,100%,100%,Up,Up
QPL,1a,TRUE,Libraries open six days per week (%),32%,33%,33%,33%,100%,100%,100%,Up,Up
SCA,1c,TRUE,Scheduled new seats constructed on time (%),100%,100%,100%,100%,96%,100%,100%,Up,Neutral
CCHR,2a,FALSE,"Conferences, workshops and training sessions","1,217","1,114","1,288","1,394","1,094","1,000","1,000",Up,Neutral
H + H,1a,FALSE,Hospital-acquired Central Line-acquired Bloodstream Infection (CLABSI) rate,NA,1.133,0.890,0.940,0.900,1.000,1.000,Down,NA
ACS,1a,TRUE,Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Register (%),92.1%,92.9%,98.8%,98.8%,98.6%,100.0%,100.0%,Up,Neutral
DEP,2a,FALSE,Catch basins surveyed/inspected (%) (cumulative),33.1%,30.0%,31.0%,31.4%,31.3%,33.3%,100.0%,Neutral,Neutral
DEP,3a,TRUE,Wastewater treatment plant (WWTP) effluent meeting federal standards (%),99.9%,99.5%,99.6%,99.5%,99.5%,100.0%,100.0%,Up,Neutral
DEP,4b,TRUE,Total revenue as percent of target (%),101.1%,104.4%,105.2%,105.3%,104.5%,100.0%,100.0%,Up,Neutral
DOE,5a,FALSE,Teachers hired to fill projected vacancies (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,Neutral,Neutral
DOHMH,3b,FALSE,Restaurants inspected (%),99.4%,99.6%,99.8%,99.9%,99.8%,100.0%,100.0%,Up,Neutral
HRA,4a,TRUE,Serious personal care complaints resolved in 24 hours (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,Up,Neutral
SCA,1c,FALSE,New schools and additions - construction funds committed as a percent of initial authorized budget (%),92.9%,95.4%,92.6%,92.9%,93.0%,100.0%,100.0%,Up,Neutral
QPL,1a,TRUE,Program attendance,"712,849","664,851","806,128","884,622","1,110,842","900,000","1,000,000",Up,Up
NYPL,2a,TRUE,Program attendance,"109,228","87,990","70,192","92,206","100,330","95,000","100,330",Up,Neutral
NYCHA,1b,TRUE,Average outage per elevator per month,1.01,0.97,1.00,0.99,1.13,1.01,1.01,Down,Up
BPL,1a,TRUE,Program attendance,"833,168","664,449","782,805","928,740","994,279","988,532","1,018,188",Up,Up
DOE,1b,FALSE,Parents attending school-based workshops (000),461,793,785,976,"1,036",600,"1,037",Up,Up
DDC,1a,FALSE,Construction projects completed,111,117,118,125,135,102,104,Neutral,Up
HPD,2a,FALSE,- Preservation completions,NA,NA,"7,171","8,103","14,212","6,796","10,433",Neutral,NA
DHS,2a,TRUE,Average number of single adults in shelters per day,"8,622","9,536","10,116","11,330","12,727","10,475","10,475",Down,Up
DOHMH,3c,FALSE,Dogs licensed (000),NA,79.0,85.0,83.0,85.0,105.0,105.0,Neutral,NA
DDC,1a,FALSE,Design projects completed,141,127,128,179,186,146,106,Neutral,Up
DSNY,2a,TRUE,Refuse tons per truck-shift,10.0,9.9,9.6,9.5,9.7,10.7,10.7,Neutral,Neutral
NYCEM,1b,TRUE,Full-scale and functional exercises/drills,9,1,3,4,11,4,11,Up,Up
DYCD,1a,FALSE,Comprehensive After School System of NYC (COMPASS NYC) enrollment,"63,000","65,957","71,585","112,600","122,792","105,000","110,000",Neutral,Up
DOHMH,2b,FALSE,Adult New Yorkers without health insurance (%) (CY),18.6%,19.8%,20.9%,13.8%,12.6%,12.4%,11.2%,Down,Down
DHS,2a,TRUE,Average number of families with children in shelters per day,"8,445","9,840","10,649","11,819","12,089","11,360","11,360",Down,Up
ACS,1b,TRUE,Families entering child welfare preventive services,"8,780","9,074","10,293","11,015","10,540","11,200","11,800",Up,Up
BPL,1a,FALSE,Electronic visits to website (000),"6,123","11,098","10,748","11,391","11,161","11,000","11,900",Up,Up
DOF,7a,FALSE,Average customer in-person wait time (minutes),11,7,17,9,4,12,12,Down,Down
CCRB,1a,TRUE,Average time to complete a full investigation (days),293,386,324,283,162,120,120,Down,Down
CCRB,1b,TRUE,Average mediation case completion time (days),181,284,225,170,93,120,120,Down,Down
ACS,1a,TRUE,Average child protective specialist caseload,8.7,8.2,9.8,10.5,10.6,12.0,12.0,Down,Up
DEP,2a,TRUE,Leak resolution time (days) (City infrastructure only),10.7,10.0,9.8,9.3,10.2,12.0,12.0,Down,Neutral
DOB,1b,TRUE,Average days to complete first plan review (Borough offices) - New buildings,12.6,16.1,8.8,14.9,11.1,12.0,12.0,Down,Down
DORIS,1b,TRUE,Average response time to vital record requests (days),8.8,10.4,14.0,21.4,11.5,12.0,12.0,Down,Up
HPD,1a,TRUE,Average time to close emergency complaints (days),10.3,10.2,11.9,13.3,11.3,12.0,12.0,Down,Up
HPD,2a,FALSE,- Preservation starts,NA,NA,"6,569","11,839","17,190","10,743","12,000",Neutral,NA
QPL,1a,TRUE,Total library attendance (000),"12,681","11,888","11,191","11,287","11,247","11,880","12,000",Up,Down
DHS,3b,TRUE,Adult families who exited to permanent housing and returned to the DHS shelter services system within one year (%),5.6%,15.0%,12.5%,14.2%,8.7%,12.5%,12.5%,Down,Up
DHS,3b,TRUE,Families with children who exited to permanent housing and returned to the DHS shelter services system within one year (%),4.4%,9.5%,12.5%,16.5%,10.0%,12.5%,12.5%,Down,Up
DOHMH,2a,TRUE,Adults who smoke (%) (CY),14.8%,15.5%,16.1%,13.9%,14.3%,13.5%,13.2%,Down,Neutral
DOT,2b,TRUE,Staten Island Ferry - Customer accident injury rate (per million passengers),2.12,1.12,1.51,1.48,0.81,1.34,1.34,Down,Down
NYPL,1a,TRUE,Total library attendance (000),"14,836","14,185","13,971","14,014","13,867","14,150","13,800",Up,Neutral
ACS,1c,TRUE,"Number of moves in foster care per 1,000 care days",1.5,1.3,1.4,1.5,1.4,1.4,1.4,Down,Neutral
CCRB,1a,TRUE,Average time to complete a substantiated investigation (days),384,438,394,329,178,140,140,Down,Down
DOF,2b,TRUE,Average turnaround time to issue decision for parking ticket hearing-by-mail (days),23.2,4.2,10.3,8.3,7.0,14.0,14.0,Down,Down
H + H,1a,FALSE,Calendar days to third next available new appointment - adult medicine,NA,NA,NA,26.0,23.0,14.0,14.0,Down,NA
ACS,1a,TRUE,Children in substantiated investigations with repeat substantiated investigations within a year (%)(preliminary),16.2%,15.7%,16.2%,15.7%,15.2%,14.0%,14.0%,Down,Neutral
DOE,1b,FALSE,In-person consultations with parents by PC or parent engagement designee (000),698,"1,129","1,275","1,450","1,593",759,"1,400",Up,Up
DYCD,1b,FALSE,Runaway and homeless youth served - crisis beds,"1,346","1,478","1,744","2,193","2,539","1,400","1,400",Neutral,Up
QPL,1a,TRUE,Library card holders (000),"1,152","1,275",929,972,841,900,"1,400",Up,Down
DOB,2b,TRUE,Construction inspections completed,"141,237","131,444","142,222","139,323","148,162","140,000","140,000",Up,Neutral
DOE,2a,FALSE,English language learners testing out of ELL Programs (%),16.5%,16.3%,17.4%,18.2%,13.1%,17.0%,14.1%,Up,Down
DOE,2b,TRUE,Students with disabilities in cohort dropping out from high school in 4 years (%) (NYSED),19.9%,17.6%,15.8%,15.4%,NA,15.8%,14.4%,Down,NA
BPL,1a,TRUE,Library card holders (000),915,"1,062","1,243","1,362","1,523","1,436","1,473",Up,Up
BPL,1a,FALSE,Computers for public use,"1,353","1,413","1,436","1,436","1,633","1,488","1,488",Up,Up
DCA,2a,TRUE,Licensing Center wait time (minutes),13,11,16,13,8,15,15,Down,Down
DDC,1a,TRUE,Active design projects: Difference between projected and scheduled duration (%),1.2%,1.6%,2.0%,1.3%,-0.4%,1.5%,1.5%,Down,Down
DORIS,1b,TRUE,Average response time to historical photo requests (days),14.0,14.1,9.0,17.2,22.9,15.0,15.0,Down,Up
NYCHA,1b,TRUE,Average time to resolve non-emergency service requests (days),30.0,42.5,27.6,14.0,14.7,15.0,15.0,Down,Down
DOT,3a,FALSE,Bicycle racks installed,"1,286","3,541","3,656","2,408","1,300","1,500","1,500",Up,Down
DoITT,4a,TRUE,LinkNYC kiosks on City streets,NA,NA,NA,NA,198,510,"1,530",Neutral,NA
HRA,4a,TRUE,Average number of days from submission of a completed application to issuance of enhanced housing benefits to HASA clients,17.3,14.5,14.1,14.2,16.3,15.5,15.5,Down,Neutral
BPL,1a,TRUE,Circulation (000),"19,579","17,461","15,731","15,205","14,933","15,661","15,661",Up,Down
DOE,2b,TRUE,- Math (%),38.2%,3.6%,11.4%,13.5%,14.7%,23.2%,15.7%,Up,Down
NYCHA,3b,TRUE,Resident job placements,"1,593","1,567",874,"1,084","1,410","1,593","1,593",Up,Down
LAW,1c,TRUE,Cases pending in federal court,NA,"1,711","1,659","1,652","1,649","1,675","1,650",Down,NA
QPL,1a,TRUE,Circulation (000),"18,632","17,470","15,759","13,587","13,091","16,000","16,500",Up,Down
DOE,3b,FALSE,Percent of high school cohort passing at least 1 AP exam in 4 years of high school,11.7%,13.5%,14.9%,15.6%,NA,15.9%,16.6%,Up,NA
DoITT,2b,TRUE,Data sets available for download on NYC.gov/OpenData,778,"1,139","1,273","1,369","1,552","1,460","1,679",Up,Up
DCA,5a,FALSE,Average customer in-person wait time (minutes),14,12,16,13,9,17,17,Down,Down
OCME,1a,TRUE,Median time for scene arrivals by medicolegal investigators (MLIs) (hours),1.8,1.9,1.8,1.9,2.4,1.7,1.7,Down,Up
OCME,4a,FALSE,Median time to complete toxicology sexual assault cases (days),30.5,27.0,27.0,43.0,84.0,17.0,17.0,Down,Up
HPD,2a,TRUE,Total housing completions (New Housing Marketplace Plan and Housing New York) (units),NA,NA,"9,284","10,128","18,442","11,708","17,343",Neutral,NA
NYPL,1a,TRUE,Program attendance,"1,058,899","1,120,064","1,209,148","1,443,213","1,713,362","1,486,500","1,750,000",Up,Up
LAW,1a,FALSE,-  Cases commenced against the City in federal court,"2,013","1,781","1,787","1,810","1,498","1,800","1,775",Neutral,Down
NYCEM,1b,TRUE,Tabletop exercises and simulations,23,23,19,19,27,18,18,Up,Neutral
BIC,1b,TRUE,Average age of pending waste hauling applications (days),168,198,221,208,214,180,180,Down,Up
DOI,1b,TRUE,Average time to complete an investigation (days),229,163,160,193,145,185,180,Down,Down
OCME,1c,FALSE,Median time to process cremation requests (minutes),78.6,123.9,136.0,184.5,174.7,180.0,180.0,Down,Up
FDNY,1a,FALSE,Completed inspections performed by civilian fire prevention personnel,"189,768","184,749","190,346","195,223","206,959","185,000","187,000",Up,Neutral
DHS,2a,TRUE,Average number of adult families in shelters per day,"1,450","1,723","1,866","2,110","2,212","1,950","1,950",Down,Up
DOE,1b,FALSE,Parents attending Fall and Spring Parent-Teacher Conferences (000),849,"1,416","1,437","1,910","1,983","1,282","1,984",Up,Up
DOI,2a,TRUE,"Time to notify agencies of prospective childcare, home care and family care workers with criminal records after receipt from State Division of Criminal Justice Services and FBI (days)",1,1,1,1,1,2,2,Down,Neutral
DYCD,4a,FALSE,Contracts terminated,2,4,4,2,13,2,2,Neutral,Up
LPC,1a,TRUE,Individual landmarks and historic districts designated,36,20,11,15,20,20,20,Neutral,Down
OATH,2a,TRUE,Average time from OATH ECB Hearings Division hearing assignment to decision (days),8,5,6,6,6,20,20,Down,Down
DORIS,2a,TRUE,Average response time to agency requests for inactive records (days),1.3,1.2,1.0,0.9,1.2,2.0,2.0,Down,Down
DORIS,2c,TRUE,Average time between records disposal eligibility and application sent to Law Department (months),1.1,0.6,0.6,0.5,0.6,2.0,2.0,Down,Down
BIC,2b,TRUE,Average time to approve public wholesale market applications (days),221,151,152,382,309,200,200,Down,Up
DOT,1c,TRUE,Average time to respond to high priority traffic signal defect and make safe (hours:minutes),NA,NA,2:05,1:47,1:50,2:00,2:00,Down,NA
HPD,1a,TRUE,Average time to close nonemergency complaints (days),41.7,14.5,18.1,27.9,23.3,20.0,20.0,Down,Down
NYCHA,1c,TRUE,Average time to prepare vacant apartments (days),31.8,39.6,43.7,38.2,40.7,20.0,20.0,Down,Up
OATH,1a,TRUE,Average adjournment time at the OATH Trials Division (business days),14.8,16.6,15.7,16.9,17.5,20.0,20.0,Down,Up
DOB,1b,FALSE,Jobs professionally certified that were audited (%),24.8%,20.3%,18.2%,13.8%,14.5%,20.0%,20.0%,Up,Down
DCAS,1d,FALSE,"City employees participating in diversity, inclusion and equal employment opportunity e-learning sessions","24,655","5,183","1,761","9,619","30,739","15,000","20,000",Neutral,Up
HPD,2a,TRUE,Total housing starts under Housing New York (units),NA,NA,"9,328","20,324","23,287","18,000","20,000",Neutral,NA
